District ID,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030
1,13708.0,6931.714285714285,9536.0,9967.166666666666,10479.980158730157,6118.142857142857,6432.035476190474,6539.415387755098,6543.217271368618,6548.761588406834
2,6630.0,3245.0,4441.0,6000.666666666667,5460.611111111111,3701.4285714285716,5279.724285714291,6005.204997619045,6294.263968943444,6429.779678873186
3,11442.0,6332.428571428572,7253.0,9051.166666666666,8722.932539682539,5582.571428571428,6780.061666666664,6538.189424489791,6520.389892397953,6529.501747246825
4,15419.0,9412.57142857143,9140.5,11481.666666666666,11112.456349206348,7330.0,7592.82023809524,7196.589868707488,7033.187673347784,6966.408443176387
5,15557.0,9393.857142857143,9674.0,12073.333333333334,11864.198412698412,8081.857142857143,8185.600238095242,7638.117540816338,7404.06320156292,7239.078740807784
6,13922.0,7788.142857142857,8370.5,9936.833333333334,10058.246031746032,6475.142857142857,6406.455476190473,6437.288300340132,6474.473090715132,6498.18424700149
7,13036.0,7152.714285714285,8034.5,10493.5,9964.95238095238,6582.714285714285,6505.190714285713,6507.706603061219,6493.813417032732,6512.629617483631
8,13187.0,6631.857142857143,8834.0,10270.666666666666,10435.253968253968,7475.285714285715,6840.623095238094,6676.0731326530595,6632.459044503396,6638.75747592321
9,13548.0,7335.714285714285,8047.0,9941.0,9731.45238095238,6851.857142857143,6475.32857142857,6465.866462244891,6478.412645764023,6505.982908667067
10,13566.0,6216.857142857143,9748.5,9871.666666666666,10716.170634920634,7008.428571428572,7174.778571428568,6866.714382312925,6794.60740874957,6770.277146533884
11,16088.0,10569.714285714286,11836.0,14385.833333333334,13897.757936507936,11685.857142857143,10918.141428571433,10839.251053061225,10338.683064287841,10024.53940463523
12,14290.0,8935.42857142857,8749.5,11108.333333333334,10633.043650793652,7982.714285714285,7312.468571428573,6943.265453741495,6858.286814102035,6804.37544701375
13,14681.0,9188.857142857143,9270.5,10318.0,10605.392857142857,6795.714285714285,6878.6671428571435,6801.529231632651,6743.906321582474,6727.401609797351
14,9576.0,6331.857142857143,8521.5,13458.666666666666,12176.170634920636,14133.42857142857,10827.992380952384,10035.597392857147,9683.223070822709,9267.77803581024
15,17185.0,9803.142857142857,13037.0,13645.833333333334,14327.829365079364,10201.857142857143,10494.375000000004,10610.846214285712,10219.803283707906,9981.111574744395
16,18571.0,12561.714285714286,16530.0,18928.166666666668,18307.146825396827,16434.428571428572,16125.382857142853,15453.9530782313,14991.629536131384,14528.704298859424
17,18836.0,10717.857142857143,15076.5,14403.166666666666,15489.920634920636,10698.142857142857,11993.300238095238,12336.076271768708,12069.312576518278,11887.712952645314
18,22888.0,15941.142857142857,20524.0,22468.333333333332,22176.24603174603,19874.0,19427.106428571424,18827.004732993206,18191.45710901318,17639.108298762512
19,15337.0,9988.714285714286,10054.5,12313.833333333334,11992.174603174602,8987.142857142857,8491.00404761905,7811.347221768716,7529.207675396679,7398.349551878498
20,15806.0,9870.42857142857,12074.0,14257.833333333334,13891.210317460318,11689.57142857143,10995.20190476191,10771.588975170074,10286.598233756802,10008.72554392069
21,11997.0,8103.0,11372.0,14579.5,13675.25,14527.0,12696.029285714287,11566.93381462585,11483.655674548894,11233.744616535085
22,15849.0,11171.42857142857,14702.5,17113.833333333332,16332.960317460316,15296.57142857143,14266.892380952375,13862.675939455788,13720.761033376702,13435.001880960386
23,10287.0,7046.428571428572,9401.0,13057.0,11874.404761904763,12940.57142857143,10223.775952380958,9514.972472789124,8987.936277425597,8783.713562150711
24,16845.0,10414.285714285714,11426.5,13981.166666666666,13533.325396825398,10501.285714285714,10373.346904761904,10250.418606122445,9944.478893869053,9811.427090241757
25,17414.0,10192.57142857143,16817.5,17047.333333333332,16800.234126984127,13782.0,13960.330476190473,13612.37449285714,13245.036195253828,12944.337206392303
26,16087.0,10129.857142857143,11510.5,13023.333333333334,13155.781746031746,9788.714285714286,9454.760000000002,9255.08350646259,9068.031515704935,8946.101033465138
27,16446.0,10407.285714285714,11062.5,13140.833333333334,12825.26984126984,9223.42857142857,9061.433809523807,8696.632551360544,8362.617934831203,8152.592685185042
28,14872.0,8752.42857142857,9233.0,11162.166666666666,11087.099206349207,7753.571428571428,7720.250952380958,7142.927263605442,6982.5274101505065,6909.9548538837635
