District ID,2012,2014,2016,2018,2020,2022,2024,2026,2028,2030
1,7133.0,3404.4285714285716,4907.0,4758.333333333333,5225.960317460317,2835.1428571428573,3089.948095238095,3042.785988095239,2910.982279241072,2831.556577106895
2,6575.0,3527.285714285714,4629.0,5208.833333333333,5254.019841269841,3283.0,3259.7026190476186,3128.643495238096,2993.1385487236403,2879.2240646595665
3,4146.0,2156.0,2766.5,3625.1666666666665,3422.277777777778,2312.8571428571427,2333.152857142855,2380.8406561224465,2411.034301994898,2443.5002674978496
4,2484.0,1089.0,1674.5,2375.5,2038.3333333333333,1388.5714285714287,1800.150476190476,2019.1864693877521,2168.2208527130106,2266.248061707986
5,5402.0,2967.285714285714,3169.0,4243.0,4016.714285714286,2579.4285714285716,2501.2180952380954,2492.106735034013,2512.317635527636,2511.066558027344
6,6040.0,3365.1428571428573,4084.0,4808.166666666667,4706.218253968254,3003.1428571428573,2849.917142857144,2795.802149659867,2767.6417354336763,2743.674348105935
7,7155.0,4325.0,3973.5,5527.833333333333,5059.222222222222,3453.285714285714,3291.2728571428574,3134.9871605442177,2993.2467523193045,2884.426536694014
8,8264.0,5087.714285714285,5167.0,5953.833333333333,6053.257936507936,3876.714285714286,3613.4083333333315,3378.5279040816313,3199.932929710459,3078.0158880196623
9,8114.0,4895.0,4975.5,6061.5,6030.166666666667,4018.714285714286,3653.2907142857125,3395.7271074829905,3200.4106281585873,3083.8045996394435
10,7443.0,4498.857142857143,4698.5,6011.833333333333,5834.0317460317465,4063.1428571428573,3563.1700000000005,3329.390689115646,3142.72455066454,3021.446874072731
11,7762.0,4636.285714285715,4692.5,5708.166666666667,5651.825396825397,3875.5714285714284,3483.495952380952,3301.9777908163273,3113.9810169081634,3005.635087551942
12,6160.0,3151.8571428571427,3678.0,4228.666666666667,4406.420634920635,2599.5714285714284,2609.7923809523804,2586.5076030612263,2589.101409136483,2569.011137286829
13,6383.0,3715.4285714285716,3596.5,5023.166666666667,4660.18253968254,2987.4285714285716,2916.516666666668,2848.043503061225,2800.9477539647132,2762.9401583920535
14,6653.0,3437.285714285714,4437.5,5470.333333333333,5304.686507936508,3595.1428571428573,3336.7623809523816,3143.1287697278917,3009.1520552551033,2890.2500157838103
15,6771.0,3561.285714285714,4778.0,5391.833333333333,5556.353174603174,4068.8571428571427,3498.3742857142856,3240.8490445578245,3083.7190628414132,2977.4300434071642
16,6417.0,3070.5714285714284,4057.0,4879.166666666667,4879.289682539683,3406.4285714285716,3087.4238095238106,2917.9922180272115,2840.2311990722806,2782.912032114096
17,7301.0,4058.714285714286,4142.0,5356.333333333333,5055.007936507936,3553.0,3292.9964285714286,3121.104764965987,2990.708199215136,2886.103891420259
18,6247.0,3277.0,3905.0,4585.0,4676.5,3298.8571428571427,2876.8342857142866,2820.77829761905,2782.3830185216857,2755.55683746918
19,6877.0,3244.0,5196.5,5295.333333333333,5680.805555555556,3878.714285714286,3418.2173809523797,3219.8280071428576,3054.059669801871,2927.905671008622
20,6689.0,2972.8571428571427,4552.0,4576.333333333333,5035.531746031746,3129.714285714286,3038.58,2929.29837244898,2851.544873518284,2789.6708855721936
21,8404.0,5450.714285714285,5914.5,6777.0,6769.035714285715,5207.428571428572,5425.099047619048,4993.45082210884,4753.597076924312,4609.948160495028
22,7684.0,5119.0,5921.5,7608.833333333333,7128.722222222223,6478.428571428572,6490.167619047616,6027.033273809523,5813.55664780527,5677.712009012397
